sex2,edu1,edu2,sibsex,occj,medu1,safa,urban,jieduan,match1
2,1,1,1,1,1,-6.065652,0,0,1
1,1,1,2,1,2,-3.384565,0,2,0
2,1,1,2,1,1,0.6120903,0,0,1
2,2,1,2,3,1,-6.024416,0,0,0
1,1,1,2,2,1,-4.571481,0,0,1
2,1,1,0,,1,-6.452573,0,0,1
1,1,1,1,2,1,-5.70036,0,0,1
2,1,1,1,2,1,-0.8894768,0,0,1
2,1,1,2,1,1,1.787907,0,0,1
1,1,1,2,1,1,-1.972454,0,0,1
2,1,1,1,2,1,0.2221618,0,0,1
2,1,1,1,1,1,-2.254128,0,0,1
2,2,1,1,2,1,-8.957587,1,0,0
1,1,1,0,,1,-2.725534,0,0,1
1,1,1,2,1,1,-3.917146,0,0,1
2,1,1,1,1,1,-4.561922,0,0,1
2,1,1,1,1,1,-4.713309,0,0,1
1,1,1,1,1,1,-3.04279,0,0,1
1,1,1,2,1,1,-5.775683,0,2,1
1,1,1,1,1,1,5.499824,0,0,1
1,3,1,0,1,2,-10.05023,0,0,0
1,1,1,2,2,1,-2.141154,0,0,1
1,2,1,2,2,1,-2.493475,0,0,0
1,2,1,1,2,1,-2.363701,0,0,0
2,1,1,2,1,1,-1.787157,0,0,1
2,2,1,1,4,1,-2.330417,0,0,0
1,1,1,0,1,1,-0.4935777,0,0,1
2,2,1,2,1,2,-7.60615,0,2,1
1,1,1,2,1,1,3.805607,0,0,1
1,2,1,1,1,1,-5.110847,0,2,0
2,1,1,1,1,1,-1.537904,0,0,1
1,1,1,1,1,1,-1.339044,0,0,1
2,1,1,2,2,1,-3.041986,0,2,1
1,1,1,2,1,1,2.022439,0,0,1
2,1,1,2,1,1,-2.38098,0,0,1
1,1,1,2,4,1,0.2812057,0,0,1
1,2,1,1,4,1,-2.998692,0,0,0
2,1,1,2,1,1,0.7995098,0,0,1
2,1,1,1,1,1,2.856469,0,2,1
2,1,1,1,2,1,-0.4005308,1,0,1
2,2,1,0,1,1,-2.746866,0,2,0
1,1,1,1,1,1,1.082854,0,0,1
2,1,1,1,1,1,0.2116578,0,0,1
1,2,1,2,1,2,-5.478458,0,0,1
2,2,1,2,1,1,-4.010653,0,0,0
2,1,1,2,1,1,0.1609561,0,0,1
2,1,1,1,1,1,-4.507101,0,0,1
1,2,1,1,1,1,-1.589655,0,2,0
1,1,1,1,1,1,0.6649237,0,0,1
1,2,1,1,1,1,-2.141732,0,2,0
1,1,1,2,2,1,1.255834,0,0,1
1,1,1,1,1,1,-2.086608,0,0,1
1,1,1,1,1,2,-7.461285,0,0,0
1,1,1,2,1,1,-0.0139556,0,0,1
1,1,1,2,1,1,-0.4167836,0,0,1
1,1,1,0,2,1,-0.8627434,1,1,1
1,1,1,1,1,1,-1.441906,0,0,1
1,1,1,2,1,1,-0.5701306,0,2,1
2,2,1,1,1,1,-3.419577,0,0,0
1,1,1,0,,1,0.7023216,0,1,1
1,1,1,1,1,1,-3.604817,0,0,1
1,1,1,1,1,1,-2.783426,0,2,1
2,3,1,0,,1,-11.0991,1,0,0
1,1,1,1,2,1,1.422033,0,0,1
2,1,1,1,1,1,-2.536064,1,0,1
2,3,1,2,1,1,-6.578877,0,0,0
1,1,1,1,1,1,1.499808,0,0,1
1,1,1,1,,1,0.2590723,1,0,1
1,1,1,1,,1,-0.2314132,0,0,1
1,1,1,1,,1,0.2044615,0,0,1
2,1,1,1,2,1,-2.107471,1,0,1
2,1,1,1,2,1,-6.037868,1,0,1
1,1,1,1,1,2,-5.760301,0,0,0
2,1,1,1,2,1,-3.994763,0,2,1
1,1,1,1,1,1,-3.98574,0,0,1
1,1,1,1,1,1,0.1613063,0,0,1
1,2,1,1,2,1,-4.572196,0,0,0
2,2,1,1,4,2,-3.966966,0,2,1
1,1,1,1,1,1,-2.927415,0,0,1
2,2,1,1,1,1,-3.171457,0,0,0
1,2,1,1,1,1,-4.957857,0,0,0
1,1,1,1,1,1,-6.081725,0,0,1
1,1,1,2,1,2,-4.598502,0,0,0
2,1,1,2,1,1,-6.290496,0,0,1
1,1,1,1,1,1,-1.996887,0,0,1
1,1,1,1,1,1,0.4446336,0,0,1
2,2,1,1,1,1,-5.936136,0,0,0
2,1,1,2,1,1,-3.420828,0,0,1
2,1,1,1,1,1,-3.340699,0,0,1
2,1,1,1,1,1,-3.471546,0,0,1
1,1,1,1,1,1,-1.940722,0,0,1
2,1,1,1,1,1,-2.768111,0,2,1
1,2,1,2,2,1,-3.432752,0,0,0
2,1,1,1,1,1,0.6865277,0,0,1
