company,date,year,indid,ind,行业,sfcy,rd,rda,fin,size,lev,grow,share,board,ip,roe,ocf,pat,inv,m2,sfin,guquan,efi
000004,2016-12-31,2016,C27,1,医药制造业,1,16.03952789,0.041321963,0.583251357,19.88633347,0.255423903,0.01388206,0.284200013,0.333333343,0.012126,0.232602,0.234417975,2.397895273,0.693147181,0.113300003,0.452043891,0,
000004,2017-12-31,2017,C27,1,医药制造业,1,15.45527744,0.019170823,0.393976092,19.88633347,0.460379779,-0.00449176,0.284299999,0.333333343,0.014334,0.032528002,0.05370947,2.564949357,1.386294361,0.081100002,0.39359206,0,
000004,2018-12-31,2018,C27,1,医药制造业,1,16.67575455,0.049734902,0.140767246,19.88633347,0.915583789,0.016468501,0.284299999,0.333333343,0.015288,-0.117646001,-0.129040465,,,0.069899999,0.139539972,0,
000005,2016-12-31,2016,N77,0,生态保护和环境治理业,1,16.63756943,0.006652106,0.046011876,21.65039253,0.864657462,0.019982181,0.174099997,0.333333343,0.037781,0.091072999,-0.073544011,3.63758616,2.833213344,0.113300003,0.030220563,0,
000005,2018-12-31,2018,N77,0,生态保护和环境治理业,1,16.59606934,0.005166882,0.043696158,21.8615551,0.976440549,-0.00084271,0.174099997,0.357142866,0.047880001,0.105071001,-0.030369099,,,0.069899999,0.023926953,0,
000007,2016-12-31,2016,H61,0,住宿业,1,15.65716743,0.012261614,0.633944094,20.05844879,0.176418081,-0.00449176,0.135299996,0.333333343,0.032839999,0.201385006,-0.046964247,,,0.113300003,0.404967278,0,
000008,2015-12-31,2015,C37,1,铁路、船舶、航空航天和其它运输设备制造业,1,18.35659409,0.026130686,0.152532548,22.00123787,0.234277219,0.019982181,0.282199979,0.428571433,0.110399999,0.108321004,-0.020188136,3.951243719,1.791759469,0.133399993,0.127093762,0,20.34773969
000008,2016-12-31,2016,C37,1,铁路、船舶、航空航天和其它运输设备制造业,1,18.73379135,0.016693892,0.199145824,22.82650375,0.327286363,0.00448569,0.124600001,0.428571433,0.121969998,0.116852,-0.006850839,2.397895273,1.609437912,0.113300003,0.141264409,1,21.68495983
000008,2018-12-31,2018,C37,1,铁路、船舶、航空航天和其它运输设备制造业,1,19.30860519,0.023218013,0.163433015,23.07143211,0.413446873,0.00100376,0.200000003,0.333333343,0.165332004,0.046859998,-0.056425452,,,0.069899999,0.117370136,1,
000010,2013-12-31,2013,C35,1,专用设备制造业,1,15.28711033,0.004238416,0.45137611,20.75067711,0.558000386,0.00925853,0.299899995,0.363636374,0.024900001,0.008994,0.004124594,1.791759469,0,0.135900006,0.449396104,0,
000012,2013-12-31,2013,C30,0,非金属矿物制品业,1,19.06773186,0.012666071,0.029912943,23.43655968,0.794908166,0.00105719,0.0889,0.333333343,0.074171998,0.206930995,0.112665467,5.38907173,3.761200116,0.135900006,0.023926953,1,
000012,2014-12-31,2014,C30,0,非金属矿物制品业,1,19.15372086,0.013617817,0.029912943,23.45009804,0.795284927,-0.00089127,0.0889,0.333333343,0.080417,0.100983001,0.092006244,5.579729826,4.094344562,0.110100001,0.023926953,1,
000019,2012-12-31,2012,C15,0,酒、饮料和精制茶制造业,1,16.72243309,0.014963598,0.30550465,20.92456818,0.215494201,-0.00023379,0.190899998,0.333333343,0.045790002,0.078125,-0.039603248,1.791759469,1.098612289,0.143900007,0.30550465,1,10.02127059
000019,2013-12-31,2013,C15,0,酒、饮料和精制茶制造业,1,16.42869377,0.010206499,0.194232181,21.01342392,0.321200758,0.00410336,0.190899998,0.333333343,0.044160001,0.044814002,-0.008916277,2.48490665,2.197224577,0.135900006,0.194232181,1,14.14430201
000019,2014-12-31,2014,C15,0,酒、饮料和精制茶制造业,1,16.90698433,0.019062243,0.233137116,20.8670311,0.16200456,-0.00160151,0.190899998,0.333333343,0.043855,0.014089,0.022036066,3.135494216,2.890371758,0.110100001,0.233087316,1,14.39082858
000019,2015-12-31,2015,C15,0,酒、饮料和精制茶制造业,1,15.97044659,0.008135477,0.160748288,20.78196716,0.107947595,-0.00081215,0.190899998,0.333333343,0.042952001,-0.044045001,-0.043342646,3.401197382,3.218875825,0.133399993,0.142957225,1,19.23863668
000019,2016-12-31,2016,C15,0,酒、饮料和精制茶制造业,1,15.86587811,0.006593522,0.323064417,20.88754463,0.122702137,-0.0019171,0.190899998,0.333333343,0.043926001,0.089837,0.052387167,3.465735903,3.295836866,0.113300003,0.307001919,1,18.77556065
000019,2017-12-31,2017,C15,0,酒、饮料和精制茶制造业,1,15.98684311,0.008193267,0.257869631,20.79128456,0.111335225,0.00155017,0.190899998,0.333333343,0.046613999,-0.060860999,-0.088673219,3.583518938,3.433987204,0.081100002,0.240624651,1,14.28530679
