地区,地方财政一般预算支出(亿元),地方财政一般预算收入(亿元),地区生产总值(亿元),年份
北京市,7205.12,5932.31,41045.6,2021年
天津市,3152.55,2141.06,15685.1,2021年
河北省,8848.21,4167.62,40397.1,2021年
山西省,5046.62,2834.47,22870.4,2021年
内蒙古自治区,5239.57,2349.95,21166,2021年
辽宁省,5879.21,2765.59,27569.5,2021年
吉林省,3696.84,1143.98,13163.8,2021年
黑龙江省,5104.81,1300.51,14858.2,2021年
上海市,8430.86,7771.8,43653.2,2021年
江苏省,14585.26,10015.16,117392.4,2021年
浙江省,11014.59,8262.64,74040.8,2021年
安徽省,7591.05,3498.19,42565.2,2021年
福建省,5204.72,3383.4,49566.1,2021年
江西省,6778.87,2812.23,29827.8,2021年
山东省,11713.16,7284.46,82875.2,2021年
河南省,9784.29,4353.92,58071.4,2021年
湖北省,7933.67,3283.32,50091.2,2021年
湖南省,8325.5,3250.69,45713.5,2021年
广东省,18247.01,14105.04,124719.5,2021年
广西壮族自治区,5806.54,1800.15,25209.1,2021年
海南省,1971.37,921.16,6504.1,2021年
重庆市,4835.06,2285.45,28077.3,2021年
四川省,11215.69,4773.15,54088,2021年
贵州省,5590.01,1969.39,19458.6,2021年
云南省,6634.36,2278.29,27161.6,2021年
西藏自治区,2027.01,215.62,2080.2,2021年
陕西省,6069.22,2775.42,30121.7,2021年
甘肃省,4032.56,1001.86,10225.5,2021年
青海省,1854.52,328.76,3385.1,2021年
宁夏回族自治区,1427.89,460.01,4588.2,2021年
新疆维吾尔自治区,5376.91,1618.61,16311.6,2021年
北京市,7116.18,5483.89,35943.3,2020年
天津市,3151.35,1923.11,14008,2020年
河北省,9022.79,3826.46,36013.8,2020年
山西省,5110.87,2296.57,17835.6,2020年
内蒙古自治区,5270.16,2051.2,17258,2020年
辽宁省,6014.17,2655.75,25011.4,2020年
吉林省,4127.17,1085.02,12256,2020年
黑龙江省,5449.41,1152.51,13633.4,2020年
上海市,8102.11,7046.3,38963.3,2020年
江苏省,13681.55,9058.99,102807.7,2020年
浙江省,10082.01,7248.24,64689.1,2020年
安徽省,7473.59,3216.01,38061.5,2020年
福建省,5216.1,3079.04,43608.6,2020年
江西省,6674.08,2507.54,25782,2020年
山东省,11233.52,6559.93,72798.2,2020年
河南省,10372.67,4168.84,54259.4,2020年
湖北省,8442.88,2511.54,43004.5,2020年
湖南省,8403.13,3008.66,41542.6,2020年
广东省,17430.79,12923.85,111151.6,2020年
广西壮族自治区,6179.47,1716.94,22120.9,2020年
海南省,1972.46,816.06,5566.2,2020年
重庆市,4893.95,2094.85,25041.4,2020年
四川省,11198.54,4260.89,48501.6,2020年
贵州省,5739.5,1786.8,17860.4,2020年
云南省,6974.02,2116.69,24555.7,2020年
西藏自治区,2210.92,220.99,1902.7,2020年
陕西省,5930.32,2257.31,26014.1,2020年
甘肃省,4163.4,874.55,8979.7,2020年
青海省,1932.84,297.99,3009.8,2020年
宁夏回族自治区,1480.36,419.44,3956.3,2020年
新疆维吾尔自治区,5533.16,1477.22,13800.7,2020年
北京市,7408.19,5817.1,35445.1,2019年
天津市,3555.71,2410.41,14055.5,2019年
河北省,8309.04,3738.99,34978.6,2019年
山西省,4710.76,2347.75,16961.6,2019年
内蒙古自治区,5100.91,2059.69,17212.5,2019年
辽宁省,5745.09,2652.4,24855.3,2019年
吉林省,3933.42,1116.95,11726.8,2019年
