geduy,feduy,seduy
9,12,12
5,9,16
2,12,16
2,9,15
0,9,12
12,9,12
12,9,12
9,15,12
0,14,17
0,14,16
0,14,17
6,12,16
17,12,16
0,7,9
0,9,12
0,9,12
0,9,9
12,9,9
2,9,9
0,15,15
0,15,15
0,6,0
0,0,0
6,11,12
12,11,12
6,12,12
9,12,12
6,9,12
0,4,6
0,6,9
0,8,9
0,6,9
6,6,9
6,6,9
0,6,9
0,6,9
4,6,9
0,6,12
0,9,12
0,6,6
0,6,9
0,12,9
0,12,9
5,9,9
0,9,9
0,9,9
2,6,8
2,6,8
0,8,0
0,8,0
0,8,8
0,9,9
2,9,9
0,9,11
0,9,11
0,6,9
0,6,9
6,8,8
6,8,9
2,8,8
0,9,17
9,9,17
11,12,15
0,9,9
0,9,9
0,4,8
0,4,8
0,6,11
0,6,6
0,6,0
9,2,9
9,2,9
0,5,9
0,9,12
0,9,9
0,9,9
0,0,0
0,9,9
4,6,14
4,6,9
0,0,0
0,0,0
0,9,9
5,12,8
0,9,8
0,9,9
0,9,9
0,9,9
0,9,9
0,9,5
7,5,9
0,5,9
0,5,0
0,9,0
5,6,8
0,6,0
0,3,8
6,12,6
0,14,16
0,12,15
4,9,15
0,5,12
0,5,12
9,12,15
0,4,9
0,5,16
0,12,11
1,12,11
0,9,12
0,9,15
0,9,9
6,9,12
0,9,0
12,9,12
0,9,0
0,9,16
8,6,11
0,6,11
0,6,12
0,5,12
0,5,12
0,3,12
0,9,16
0,9,16
0,8,12
0,6,11
0,6,9
0,6,8
0,0,3
0,0,9
6,3,14
0,3,14
3,11,15
0,11,15
0,9,16
0,9,12
0,6,9
0,6,9
0,0,12
0,0,12
0,9,16
0,3,12
0,9,9
0,15,12
0,15,0
14,12,12
6,8,12
0,8,12
0,11,15
0,6,16
0,9,12
0,6,15
2,9,12
0,9,9
0,9,12
0,0,12
0,0,14
6,9,17
3,9,17
0,9,9
0,9,5
0,5,9
0,5,9
11,12,16
12,12,16
0,9,12
0,12,12
0,12,12
6,9,11
6,9,12
0,9,12
0,9,12
0,9,12
0,9,9
0,9,9
0,9,9
0,9,0
0,9,12
0,9,9
6,8,9
6,8,0
6,8,12
0,9,12
0,9,12
0,9,0
0,9,12
0,9,12
0,9,11
3,9,9
0,9,9
