地区,年末常住人口(万人),地方财政一般预算支出(亿元),地方财政一般预算收入(亿元),地方财政税收收入(亿元),地方财政非税收入(亿元),地区生产总值(亿元),规模以上工业企业利润总额(亿元),第二产业增加值(亿元),第三产业增加值(亿元),全体居民人均可支配收入(元),城镇居民人均可支配收入(元),农村居民人均可支配收入(元),规模以上工业企业R&D经费(万元),规模以上工业企业发明专利申请数(件),国内专利申请授权量(项),国内发明专利申请授权量(项),国内专利申请受理量(项),国内发明专利申请受理量(项),年份
北京市,,,,,,41611.0,,6605.1,34894.3,,,,,,,,,,2022年
天津市,,,,,,16311.3,,6038.9,9999.3,,,,,,,,,,2022年
河北省,,,,,,42370.4,,17050.1,20910.0,,,,,,,,,,2022年
山西省,,,,,,25642.6,,13840.9,10461.3,,,,,,,,,,2022年
内蒙古自治区,,,,,,23158.7,,11241.8,9263.1,,,,,,,,,,2022年
辽宁省,,,,,,28975.1,,11755.8,14621.7,,,,,,,,,,2022年
吉林省,,,,,,13070.2,,4628.3,6752.8,,,,,,,,,,2022年
黑龙江省,,,,,,15901.0,,4648.9,7642.2,,,,,,,,,,2022年
上海市,,,,,,44652.8,,11458.4,33097.4,,,,,,,,,,2022年
江苏省,,,,,,122875.6,,55888.7,62027.5,,,,,,,,,,2022年
浙江省,,,,,,77715.4,,33205.2,42185.4,,,,,,,,,,2022年
安徽省,,,,,,45045.0,,18588.0,22943.3,,,,,,,,,,2022年
福建省,,,,,,53109.9,,25078.2,24955.5,,,,,,,,,,2022年
江西省,,,,,,32074.7,,14359.6,15263.7,,,,,,,,,,2022年
山东省,,,,,,87435.1,,35014.2,46122.3,,,,,,,,,,2022年
河南省,,,,,,61345.1,,25465.0,30062.2,,,,,,,,,,2022年
湖北省,,,,,,53734.9,,21240.6,27507.6,,,,,,,,,,2022年
湖南省,,,,,,48670.4,,19182.6,24885.1,,,,,,,,,,2022年
广东省,,,,,,129118.6,,52843.5,70934.7,,,,,,,,,,2022年
广西壮族自治区,,,,,,26300.9,,8938.6,13092.5,,,,,,,,,,2022年
海南省,,,,,,6818.2,,1310.9,4089.5,,,,,,,,,,2022年
重庆市,,,,,,29129.0,,11693.9,15423.1,,,,,,,,,,2022年
四川省,,,,,,56749.8,,21157.1,29628.4,,,,,,,,,,2022年
贵州省,,,,,,20164.6,,7113.0,10190.4,,,,,,,,,,2022年
云南省,,,,,,28954.2,,10471.2,14470.8,,,,,,,,,,2022年
西藏自治区,,,,,,2132.6,,804.7,1147.8,,,,,,,,,,2022年
陕西省,,,,,,32772.7,,15933.1,14264.2,,,,,,,,,,2022年
甘肃省,,,,,,11201.6,,3945.0,5741.3,,,,,,,,,,2022年
青海省,,,,,,3610.1,,1585.7,1644.2,,,,,,,,,,2022年
宁夏回族自治区,,,,,,5069.6,,2449.1,2213.0,,,,,,,,,,2022年
新疆维吾尔自治区,,,,,,17741.3,,7271.1,7961.0,,,,,,,,,,2022年
北京市,2189,7205.12,5932.31,5164.64,767.66,41045.6,3684.37,7389.0,33545.2,75002,81518,33303,3135144,15589,198778,79210,283134,167608,2021年
天津市,1373,3152.55,2141.06,1621.89,519.17,15685.1,1503.27,5672.7,9746.5,47449,51486,27955,2512635,5928,97910,7376,90471,21370,2021年
河北省,7448,8848.21,4167.62,2735.73,1431.90,40397.1,2454.86,16355.8,20010.9,29383,39791,18179,5703924,8844,120034,8621,130705,23923,2021年
山西省,3480,5046.62,2834.47,2094.72,739.75,22870.4,3072.48,11578.1,10005.4,27426,37433,15308,1862448,3664,37379,3915,40460,10059,2021年
内蒙古自治区,2400,5239.57,2349.95,1671.05,678.90,21166.0,3378.19,9880.6,8931.5,34108,44377,18337,1547744,2725,24362,1651,29462,5998,2021年
辽宁省,4229,5879.21,2765.59,1970.87,794.72,27569.5,1841.96,10883.3,14224.2,35112,43051,19217,3672792,6614,80191,10480,88504,23078,2021年
吉林省,2375,3696.84,1143.98,809.41,334.57,13163.8,1078.82,4768.3,6841.7,27770,35646,17642,858433,3187,29879,5730,38807,12680,2021年
黑龙江省,3125,5104.81,1300.51,870.18,430.33,14858.2,536.98,4086.5,7308.3,27159,33646,17889,887690,2769,38884,6337,47577,15018,2021年
上海市,2489,8430.86,7771.80,6606.74,1165.06,43653.2,3164.63,11366.7,32190.4,78027,82429,38521,6983293,16786,179317,32860,232918,92527,2021年
江苏省,8505,14585.26,10015.16,8171.30,1843.86,117392.4,9586.47,52678.7,59992.7,47498,57744,26791,27166319,65806,640917,68813,696693,188241,2021年
浙江省,6540,11014.59,8262.64,7171.97,1090.66,74040.8,7019.41,31174.0,40655.1,57541,68487,35247,15916604,41292,465468,56796,503197,129821,2021年
安徽省,6113,7591.05,3498.19,2389.90,1108.30,42565.2,2870.96,17240.1,21961.1,30904,43009,18372,7391200,30230,153475,23624,196427,64106,2021年
福建省,4187,5204.72,3383.40,2493.14,890.27,49566.1,4980.00,23319.8,23346.3,40659,51141,23229,7716534,15516,153814,12561,160703,31093,2021年
江西省,4517,6778.87,2812.23,1929.33,882.90,29827.8,3270.22,13230.7,14263.0,30610,41684,18684,3978466,8312,97372,6741,100930,19171,2021年
山东省,10170,11713.16,7284.46,5475.99,1808.47,82875.2,5394.75,32834.5,44011.7,35705,47066,20794,15653402,31824,329838,36345,369470,82481,2021年
河南省,9883,9784.29,4353.92,2842.56,1511.36,58071.4,2933.52,23566.4,28878.2,26811,37095,17533,7640132,10345,158038,13536,167550,34950,2021年
湖北省,5830,7933.67,3283.32,2559.68,723.64,50091.2,4419.29,19332.1,26123.9,30829,40278,18259,7235941,22180,155169,22376,175312,51690,2021年
湖南省,6622,8325.50,3250.69,2245.99,1004.70,45713.5,2618.32,17852.5,23537.9,31993,44866,18295,7661149,16503,98936,16564,114167,36746,2021年
广东省,12684,18247.01,14105.04,10785.23,3319.80,124719.5,11278.35,50555.8,69179.0,44993,54854,22306,29021849,139727,872209,102850,980634,242551,2021年
广西壮族自治区,5037,5806.54,1800.15,1191.09,609.07,25209.1,1346.66,8513.9,12643.9,26727,38530,16363,1370239,4878,46804,4573,55987,13693,2021年
海南省,1020,1971.37,921.16,742.93,178.22,6504.1,212.72,1240.8,4008.8,30457,40213,18076,141545,729,13632,954,17679,4497,2021年
重庆市,3212,4835.06,2285.45,1543.40,742.05,28077.3,2133.79,11217.3,14938.1,33803,43503,18100,4245267,7362,76206,9413,83555,24068,2021年
四川省,8372,11215.69,4773.15,3334.86,1438.29,54088.0,4546.72,19949.7,28476.2,29080,41444,17575,4801710,14847,146936,19337,163664,45358,2021年
贵州省,3852,5590.01,1969.39,1177.15,792.24,19458.6,1249.64,6850.5,9877.2,23996,39211,12856,1210567,3850,39267,2824,41733,9869,2021年
云南省,4690,6634.36,2278.29,1514.21,764.08,27161.6,1357.21,9537.2,13793.1,25666,40905,14197,1764956,2996,41167,3643,47997,10293,2021年
西藏自治区,366,2027.01,215.62,142.17,73.45,2080.2,50.10,757.3,1158.8,24950,46503,16932,24782,31,1929,184,2644,515,2021年
陕西省,3954,6069.22,2775.42,2237.04,538.39,30121.7,3710.31,14019.0,13692.9,28568,40713,14745,3196867,6708,86272,15516,105652,38643,2021年
